Country,Region,Year,pm2.5
Afghanistan,Eastern Mediterranean (LMIC),2009,86
Afghanistan,Eastern Mediterranean (LMIC),2009,68
Albania,Europe (LMIC),2015,12
Albania,Europe (LMIC),2016,14
Albania,Europe (LMIC),2015,30
Albania,Europe (LMIC),2016,29
Albania,Europe (LMIC),2013,16
Albania,Europe (LMIC),2014,10
Albania,Europe (LMIC),2015,13
Albania,Europe (LMIC),2016,15
Albania,Europe (LMIC),2015,13
Andorra,Europe (HIC),2012,18
Andorra,Europe (HIC),2014,11
Andorra,Europe (HIC),2015,11
Andorra,Europe (HIC),2016,12
Andorra,Europe (HIC),2017,10
United Arab Emirates,Eastern Mediterranean (HIC),2011,65
United Arab Emirates,Eastern Mediterranean (HIC),2012,68
United Arab Emirates,Eastern Mediterranean (HIC),2013,59
United Arab Emirates,Eastern Mediterranean (HIC),2014,45
United Arab Emirates,Eastern Mediterranean (HIC),2015,61
United Arab Emirates,Eastern Mediterranean (HIC),2011,58
United Arab Emirates,Eastern Mediterranean (HIC),2012,45
United Arab Emirates,Eastern Mediterranean (HIC),2013,52
United Arab Emirates,Eastern Mediterranean (HIC),2014,40
United Arab Emirates,Eastern Mediterranean (HIC),2015,50
United Arab Emirates,Eastern Mediterranean (HIC),2011,66
United Arab Emirates,Eastern Mediterranean (HIC),2012,74
United Arab Emirates,Eastern Mediterranean (HIC),2013,52
United Arab Emirates,Eastern Mediterranean (HIC),2014,46
United Arab Emirates,Eastern Mediterranean (HIC),2015,63
United Arab Emirates,Eastern Mediterranean (HIC),2013,62
United Arab Emirates,Eastern Mediterranean (HIC),2013,61
United Arab Emirates,Eastern Mediterranean (HIC),2013,56
Argentina,Americas (LMIC),2016,12
Australia,Western Pacific (HIC),2012,7
Australia,Western Pacific (HIC),2013,7
Australia,Western Pacific (HIC),2014,7
Australia,Western Pacific (HIC),2015,7
Australia,Western Pacific (HIC),2016,7
Australia,Western Pacific (HIC),2010,7
Australia,Western Pacific (HIC),2011,6
Australia,Western Pacific (HIC),2012,7
Australia,Western Pacific (HIC),2013,7
Australia,Western Pacific (HIC),2014,7
Australia,Western Pacific (HIC),2015,7
Australia,Western Pacific (HIC),2016,8
Australia,Western Pacific (HIC),2013,7
Australia,Western Pacific (HIC),2014,7
Australia,Western Pacific (HIC),2015,6
Australia,Western Pacific (HIC),2016,7
Australia,Western Pacific (HIC),2015,10
Australia,Western Pacific (HIC),2013,7
Australia,Western Pacific (HIC),2014,6
Australia,Western Pacific (HIC),2015,6
Australia,Western Pacific (HIC),2016,6
Australia,Western Pacific (HIC),2015,6
Australia,Western Pacific (HIC),2016,7
Australia,Western Pacific (HIC),2010,9
Australia,Western Pacific (HIC),2011,8
Australia,Western Pacific (HIC),2012,9
Australia,Western Pacific (HIC),2013,8
Australia,Western Pacific (HIC),2014,8
Australia,Western Pacific (HIC),2015,9
Australia,Western Pacific (HIC),2016,8
Australia,Western Pacific (HIC),2010,8
Australia,Western Pacific (HIC),2011,8
Australia,Western Pacific (HIC),2012,9
Australia,Western Pacific (HIC),2013,8
Australia,Western Pacific (HIC),2014,7
Australia,Western Pacific (HIC),2015,9
Australia,Western Pacific (HIC),2016,8
Australia,Western Pacific (HIC),2014,7
Australia,Western Pacific (HIC),2014,6
Australia,Western Pacific (HIC),2015,6
Australia,Western Pacific (HIC),2016,6
Australia,Western Pacific (HIC),2010,10
Australia,Western Pacific (HIC),2011,9
Australia,Western Pacific (HIC),2012,9
Australia,Western Pacific (HIC),2013,9
Australia,Western Pacific (HIC),2014,8
Australia,Western Pacific (HIC),2015,10
Australia,Western Pacific (HIC),2016,8
Australia,Western Pacific (HIC),2013,7
Australia,Western Pacific (HIC),2014,8
Australia,Western Pacific (HIC),2015,9
Australia,Western Pacific (HIC),2016,6
Australia,Western Pacific (HIC),2013,6
Australia,Western Pacific (HIC),2014,8
Australia,Western Pacific (HIC),2010,9
Australia,Western Pacific (HIC),2011,9
Australia,Western Pacific (HIC),2012,9
Australia,Western Pacific (HIC),2013,9
Australia,Western Pacific (HIC),2014,10
Australia,Western Pacific (HIC),2015,9
Australia,Western Pacific (HIC),2016,8
Australia,Western Pacific (HIC),2015,4
Australia,Western Pacific (HIC),2016,5
Australia,Western Pacific (HIC),2013,6
Australia,Western Pacific (HIC),2015,6
Australia,Western Pacific (HIC),2016,5
Australia,Western Pacific (HIC),2014,10
Australia,Western Pacific (HIC),2013,8
Australia,Western Pacific (HIC),2014,7
Australia,Western Pacific (HIC),2015,10
Australia,Western Pacific (HIC),2016,9
Australia,Western Pacific (HIC),2014,8
Australia,Western Pacific (HIC),2015,9
Australia,Western Pacific (HIC),2016,10
Australia,Western Pacific (HIC),2015,8
Australia,Western Pacific (HIC),2016,7
Australia,Western Pacific (HIC),2013,9
Australia,Western Pacific (HIC),2014,10
Australia,Western Pacific (HIC),2015,9
Australia,Western Pacific (HIC),2016,8
Australia,Western Pacific (HIC),2013,8
Australia,Western Pacific (HIC),2014,7
Australia,Western Pacific (HIC),2015,8
Australia,Western Pacific (HIC),2016,8
Australia,Western Pacific (HIC),2012,12
Australia,Western Pacific (HIC),2014,9
Australia,Western Pacific (HIC),2015,8
Australia,Western Pacific (HIC),2016,7
Australia,Western Pacific (HIC),2010,8
Australia,Western Pacific (HIC),2011,7
Australia,Western Pacific (HIC),2012,8
Australia,Western Pacific (HIC),2013,8
Australia,Western Pacific (HIC),2014,8
Australia,Western Pacific (HIC),2015,8
Australia,Western Pacific (HIC),2016,8
Australia,Western Pacific (HIC),2013,8
Australia,Western Pacific (HIC),2014,8
Australia,Western Pacific (HIC),2015,8
Australia,Western Pacific (HIC),2016,8
Australia,Western Pacific (HIC),2013,8
Australia,Western Pacific (HIC),2014,8
Australia,Western Pacific (HIC),2015,8
Australia,Western Pacific (HIC),2016,8
Australia,Western Pacific (HIC),2013,7
Australia,Western Pacific (HIC),2014,7
Australia,Western Pacific (HIC),2015,6
Australia,Western Pacific (HIC),2016,7
Australia,Western Pacific (HIC),2015,8
Australia,Western Pacific (HIC),2014,8
Australia,Western Pacific (HIC),2013,8
Australia,Western Pacific (HIC),2014,7
Australia,Western Pacific (HIC),2015,8
Australia,Western Pacific (HIC),2016,7
Australia,Western Pacific (HIC),2012,7
Australia,Western Pacific (HIC),2013,7
Australia,Western Pacific (HIC),2014,7
Australia,Western Pacific (HIC),2015,7
Australia,Western Pacific (HIC),2016,6
Australia,Western Pacific (HIC),2013,8
Australia,Western Pacific (HIC),2014,7
Australia,Western Pacific (HIC),2015,7
Australia,Western Pacific (HIC),2016,7
Australia,Western Pacific (HIC),2015,4
Australia,Western Pacific (HIC),2016,4
Australia,Western Pacific (HIC),2013,7
Australia,Western Pacific (HIC),2014,5
Australia,Western Pacific (HIC),2015,5
Australia,Western Pacific (HIC),2016,6
Austria,Europe (HIC),2013,15
Austria,Europe (HIC),2014,14
Austria,Europe (HIC),2015,14
Austria,Europe (HIC),2016,12
Austria,Europe (HIC),2013,10
Austria,Europe (HIC),2014,8
Austria,Europe (HIC),2015,9
Austria,Europe (HIC),2016,8
Austria,Europe (HIC),2013,12
Austria,Europe (HIC),2013,13
Austria,Europe (HIC),2014,12
Austria,Europe (HIC),2015,13
Austria,Europe (HIC),2016,12
Austria,Europe (HIC),2013,14
Austria,Europe (HIC),2014,13
Austria,Europe (HIC),2015,14
Austria,Europe (HIC),2016,13
Austria,Europe (HIC),2013,12
Austria,Europe (HIC),2014,10
Austria,Europe (HIC),2015,11
Austria,Europe (HIC),2016,10
Austria,Europe (HIC),2013,17
Austria,Europe (HIC),2014,17
Austria,Europe (HIC),2015,17
Austria,Europe (HIC),2016,15
Austria,Europe (HIC),2013,15
Austria,Europe (HIC),2014,13
Austria,Europe (HIC),2015,13
Austria,Europe (HIC),2016,12
Austria,Europe (HIC),2013,16
Austria,Europe (HIC),2014,11
Austria,Europe (HIC),2015,12
Austria,Europe (HIC),2016,11
Austria,Europe (HIC),2013,17
Austria,Europe (HIC),2014,16
Austria,Europe (HIC),2015,17
Austria,Europe (HIC),2016,15
Austria,Europe (HIC),2013,17
Austria,Europe (HIC),2014,12
Austria,Europe (HIC),2015,13
Austria,Europe (HIC),2016,12
Austria,Europe (HIC),2013,16
Austria,Europe (HIC),2014,13
Austria,Europe (HIC),2015,14
Austria,Europe (HIC),2016,13
Austria,Europe (HIC),2013,14
Austria,Europe (HIC),2014,13
Austria,Europe (HIC),2015,16
Austria,Europe (HIC),2016,11
Austria,Europe (HIC),2013,13
Austria,Europe (HIC),2014,10
Austria,Europe (HIC),2015,11
Austria,Europe (HIC),2016,11
Austria,Europe (HIC),2013,19
Austria,Europe (HIC),2014,14
Austria,Europe (HIC),2015,15
Austria,Europe (HIC),2016,13
Austria,Europe (HIC),2013,15
Austria,Europe (HIC),2013,14
Austria,Europe (HIC),2014,12
Austria,Europe (HIC),2015,15
Austria,Europe (HIC),2016,15
Austria,Europe (HIC),2013,19
Austria,Europe (HIC),2014,16
Austria,Europe (HIC),2015,15
Austria,Europe (HIC),2016,13
Austria,Europe (HIC),2013,16
Austria,Europe (HIC),2014,14
Austria,Europe (HIC),2015,14
Austria,Europe (HIC),2016,15
Austria,Europe (HIC),2013,16
Austria,Europe (HIC),2014,14
Austria,Europe (HIC),2015,13
Austria,Europe (HIC),2016,11
Austria,Europe (HIC),2013,9
Austria,Europe (HIC),2014,8
Austria,Europe (HIC),2015,9
Austria,Europe (HIC),2016,9
Austria,Europe (HIC),2013,18
Austria,Europe (HIC),2014,17
Austria,Europe (HIC),2015,18
Austria,Europe (HIC),2016,15
Austria,Europe (HIC),2013,15
Austria,Europe (HIC),2014,14
Austria,Europe (HIC),2015,14
Austria,Europe (HIC),2016,14
Austria,Europe (HIC),2013,15
Austria,Europe (HIC),2014,14
Austria,Europe (HIC),2013,13
Austria,Europe (HIC),2014,10
Austria,Europe (HIC),2015,12
Austria,Europe (HIC),2016,10
Austria,Europe (HIC),2013,18
Austria,Europe (HIC),2014,13
Austria,Europe (HIC),2013,12
Austria,Europe (HIC),2014,8
Austria,Europe (HIC),2015,9
Austria,Europe (HIC),2016,9
Austria,Europe (HIC),2013,14
Austria,Europe (HIC),2014,13
Austria,Europe (HIC),2015,12
Austria,Europe (HIC),2016,11
Austria,Europe (HIC),2013,19
Austria,Europe (HIC),2014,17
Austria,Europe (HIC),2015,19
Austria,Europe (HIC),2016,17
Austria,Europe (HIC),2013,15
Austria,Europe (HIC),2014,14
Austria,Europe (HIC),2015,14
Austria,Europe (HIC),2016,12
Austria,Europe (HIC),2013,18
Austria,Europe (HIC),2014,13
Austria,Europe (HIC),2015,15
Austria,Europe (HIC),2016,11
Austria,Europe (HIC),2013,18
Austria,Europe (HIC),2013,16
Austria,Europe (HIC),2014,15
Austria,Europe (HIC),2015,15
Austria,Europe (HIC),2016,14
Austria,Europe (HIC),2013,18
Austria,Europe (HIC),2014,15
Austria,Europe (HIC),2015,15
Austria,Europe (HIC),2016,12
Austria,Europe (HIC),2013,17
Austria,Europe (HIC),2014,12
Austria,Europe (HIC),2015,13
Austria,Europe (HIC),2016,12
Austria,Europe (HIC),2013,17
Austria,Europe (HIC),2014,16
Austria,Europe (HIC),2015,17
Austria,Europe (HIC),2016,15
Austria,Europe (HIC),2013,15
Austria,Europe (HIC),2014,13
Austria,Europe (HIC),2015,13
Austria,Europe (HIC),2016,12
Austria,Europe (HIC),2013,9
Austria,Europe (HIC),2014,8
Austria,Europe (HIC),2015,8
Austria,Europe (HIC),2016,7
Austria,Europe (HIC),2013,5
Austria,Europe (HIC),2014,5
Austria,Europe (HIC),2016,5
Austria,Europe (HIC),2013,12
Austria,Europe (HIC),2014,9
Austria,Europe (HIC),2015,10
Austria,Europe (HIC),2016,9
Austria,Europe (HIC),2013,17
Austria,Europe (HIC),2013,17
Austria,Europe (HIC),2014,14
Austria,Europe (HIC),2015,13
Austria,Europe (HIC),2016,13
Austria,Europe (HIC),2013,15
Austria,Europe (HIC),2014,12
Austria,Europe (HIC),2015,13
Austria,Europe (HIC),2016,12
Austria,Europe (HIC),2012,13
Austria,Europe (HIC),2013,15
Austria,Europe (HIC),2014,15
Austria,Europe (HIC),2015,12
Austria,Europe (HIC),2016,11
Austria,Europe (HIC),2013,16
Austria,Europe (HIC),2014,15
Austria,Europe (HIC),2015,15
Austria,Europe (HIC),2016,13
Austria,Europe (HIC),2013,13
Austria,Europe (HIC),2013,14
Austria,Europe (HIC),2014,10
Austria,Europe (HIC),2015,13
Austria,Europe (HIC),2016,11
Austria,Europe (HIC),2013,12
Austria,Europe (HIC),2014,10
Austria,Europe (HIC),2015,11
Austria,Europe (HIC),2016,10
Austria,Europe (HIC),2013,17
Austria,Europe (HIC),2014,16
Austria,Europe (HIC),2015,17
Austria,Europe (HIC),2016,16
Austria,Europe (HIC),2013,12
Austria,Europe (HIC),2014,12
Austria,Europe (HIC),2015,12
Austria,Europe (HIC),2016,10
Austria,Europe (HIC),2013,15
Austria,Europe (HIC),2013,14
Austria,Europe (HIC),2014,12
Austria,Europe (HIC),2015,11
Austria,Europe (HIC),2016,10
Austria,Europe (HIC),2013,14
Austria,Europe (HIC),2013,14
Austria,Europe (HIC),2014,12
Austria,Europe (HIC),2015,16
Austria,Europe (HIC),2016,13
Austria,Europe (HIC),2013,19
Austria,Europe (HIC),2014,18
Austria,Europe (HIC),2015,18
Austria,Europe (HIC),2016,14
Austria,Europe (HIC),2013,15
Austria,Europe (HIC),2014,12
Austria,Europe (HIC),2015,13
Austria,Europe (HIC),2016,11
Austria,Europe (HIC),2013,19
Austria,Europe (HIC),2014,16
Austria,Europe (HIC),2015,19
Austria,Europe (HIC),2016,17
Austria,Europe (HIC),2013,17
