Year,sea_salt,dust,traffic,industry,biomass_burn_residual,other_unspecified_human_origin
2012,NA,55.7,8.9,18,5.7,11.7
2011,2,7,22,13,30,26
2011,2,33,9,11,28,17
2011,NA,11,NA,2,63,24
2011,NA,1,NA,1,75,23
2005,1,10.2,67,10,11.9,0
2005,14,1.9,33.8,NA,50.3,0
2009,NA,18,5,26,NA,51
2012,NA,NA,35.1,53.7,NA,11.2
2010,NA,NA,36,19,14.8,30.2
2011,4,NA,75,NA,21,0
2007,NA,8,40,28,NA,24
2014,6,NA,30,14,23,27
2013,NA,8.1,15.4,26.6,15.4,34.5
2014,NA,NA,27,44.7,NA,28.3
2012,NA,38,5.2,35.8,NA,21
2007,8.9,37.4,27,NA,NA,26.7
2010,NA,NA,13.7,45.3,NA,41
2006,22,7,26,23,NA,22
2006,14,5,25,10,9,37
2013,NA,33.2,25.9,NA,29,11.9
2013,NA,NA,65,29,NA,6
2013,NA,24,64,NA,NA,12
2001,24.4,NA,57.6,4.5,NA,13.5
2001,27.8,NA,33.6,7.4,NA,31.2
2001,34.2,NA,39,7.8,NA,19
2013,NA,17,22.5,NA,50.5,10
2007,1.8,25,15,NA,15.5,42.7
2007,1,38,4.5,NA,19.7,36.8
2007,6,24.3,5.7,NA,25.7,38.3
2010,NA,NA,61.7,29,NA,9.3
2010,NA,16,50.7,NA,NA,33.3
1987,47,NA,21,16.5,NA,15.5
2010,12,11,28,37,NA,12
2008,13,25,34,9,NA,19
2011,1.3,NA,17,NA,NA,81.7
2009,NA,NA,100,NA,NA,0
2012,4,NA,14,11,20,51
2014,27,13,6,4,13,37
2011,4,NA,14,11,20,51
2011,5,NA,18,12,14,51
2009,9.6,NA,28.4,24.3,NA,37.7
2011,6.6,20,16.6,NA,13.2,43.6
2001,NA,19,53.6,16.7,7.8,2.9
2005,NA,21,36,8,NA,35
2008,NA,8,43,17,NA,32
2011,10,10,2,25,7,46
2011,9,14,8,29,6,34
2007,2.7,7.7,51.5,NA,NA,38.1
2011,6,11,9,2,2,70
2005,2,6.9,30,20,NA,41.1
2007,3,4,10,34,NA,49
2011,NA,NA,50.6,2.5,22,24.9
2011,NA,NA,41.5,3.5,18.3,36.8
2011,NA,NA,55,5.8,23,16.3
2011,NA,26,31,22,NA,21
2011,NA,40,22,28,NA,10
2012,NA,NA,58.1,17.3,13,11.6
2012,NA,NA,77.1,10.5,6.2,6.2
2009,19,22.5,NA,NA,25,33.5
2014,NA,8.3,64.3,NA,11,16.4
2012,NA,10,15,42,33,0
2008,NA,80,0.2,11.6,NA,8.2
2008,NA,54.4,0.5,43,NA,2.1
2008,NA,30,45,25,NA,0
2013,5.9,6.1,23,14.6,6.1,44.3
2010,NA,16,21,17,3,43
2008,2.8,8.4,10.3,16.1,7.1,55.3
2005,NA,9.2,22,14.6,NA,54.2
2005,1.3,13,25,17.2,4,39.5
2007,NA,22,39,19,NA,20
2007,NA,11,47,16,NA,26
2007,NA,3,66,23,NA,8
2007,NA,9,45,18,NA,28
2007,NA,9,47,18,NA,26
2013,NA,36.2,10,12,25.3,16.6
2010,15,9.3,21.6,NA,7.4,46.7
2010,7,10,34,16,NA,33
2010,2,18,20,30,NA,30
2010,11.9,24.3,9.5,11.3,NA,43
2013,3.5,22,13.5,30,1.7,29.3
2013,3.6,19,19.2,26.7,7.5,24
2012,NA,14,8.1,45.8,NA,32.1
2012,NA,31.5,14.1,44.6,NA,9.8
2012,4,29,11.9,19.9,NA,35.2
2006,NA,NA,13,20.8,10.5,55.7
2006,NA,NA,13.6,34.3,NA,52.1
2006,NA,NA,19.5,6.6,8.6,65.3
2006,NA,NA,19.7,35.3,NA,45
2007,NA,NA,18,29,14.6,38.4
2013,NA,18,18.8,NA,33,30.2
2013,NA,30,25,NA,NA,45
2013,NA,39,22.4,NA,NA,38.6
2007,8.9,37.4,27,NA,NA,26.7
2007,8.9,37.4,27,NA,NA,26.7
2007,8.9,37.4,27,NA,NA,26.7
2007,8.9,37.4,27,NA,NA,26.7
2010,NA,49,NA,24,24,3
2013,NA,10.4,29.7,22,11.2,26.7
2010,NA,7,39,30,NA,24
2011,NA,10.9,NA,53.2,2.4,33.6
2009,13,NA,28.5,15,14.5,29
2013,NA,9.2,52.4,7.5,30.9,0
2007,NA,40.6,27.5,6.6,18,7.3
2007,NA,18.4,25,2.7,51,2.9
2013,9.1,33.8,17.5,NA,4.9,34.7
2011,NA,NA,65.9,16.7,NA,17.4
2008,2,4,69,NA,2,23
2011,NA,3.2,53,43.7,NA,0.1
2011,1.3,7.3,43,NA,32,16.4
2011,25,9.5,36.7,NA,19,9.8
2010,NA,3.4,40,36,13,7.6
