Incident ID;Agency;Offense;Street;City;State;Longitude;Latitude;Forcible;maps;Date of Report;Hour of Report;Date of Occurence;Hour of Occurence;Date Found;Hour Found;Apartment;Zipcode;Reported As;Premise Description;Victim Age;Weapon Description;Victim Race;Victim Gender 
139043;CHPD;LARCENY- ALL OTHER;1830 E LAKEVIEW AND OLD DURHAM RDS;CHAPEL HILL;NC;;;N;;2017-01-20;11:37:00;2017-01-20;11:01:00;2017-01-20;11:37:00;;27517;MISC OFFICER IN;HIGHWAY/ROAD/STREET  ETC.;;NOT APPLICABLE/NONE;;
139033;CHPD;TRESPASSING;1 EUROPA DR;CHAPEL HILL;NC;-79.01736105;35.94125513;N;35.94125513, -79.01736105;2017-01-20;4:51:00;2017-01-20;4:51:00;2017-01-20;4:51:00;;27514;TRESPASSING/UNW;HOTEL/MOTEL;;NOT APPLICABLE/NONE;;
139073;CHPD;DOMESTIC DISTURBANCE/NO ASSAULT;410 COTTON ST;CHAPEL HILL;NC;-79.06188884;35.91475609;N;35.91475609, -79.06188884;2017-01-20;20:11:00;2017-01-20;20:11:00;2017-01-20;20:11:00;;27516;DOMESTIC DISTUR;HOME OF OFFENDER - SINGLE FAMI;56.0;NOT APPLICABLE/NONE;B;M
139014;CHPD;B&E RESIDENCE-FORCE;103 DICKENS CT;CHAPEL HILL;NC;-79.01461026;35.94713208;Y;35.94713208, -79.01461026;2017-01-19;17:46:00;2017-01-19;9:30:00;2017-01-19;17:20:00;2;27514;BURGLARY/HOME I;HOME OF VICTIM - OTHER DWELLING;25.0;UNKNOWN/NOT STATED;I;M
139002;CHPD;HARASSMENT;109 THETFORD CT;CHAPEL HILL;NC;-79.06835404;35.92695532;N;35.92695532, -79.06835404;2017-01-19;12:25:00;2017-01-17;18:00:00;2017-01-18;13:00:00;;27516;PUBLIC SERVICE;HOME OF VICTIM - SINGLE FAMILY;34.0;NOT APPLICABLE/NONE;W;F
138876;CHPD;SUSPICIOUS PERSON;1717 LEGION RD;CHAPEL HILL;NC;-79.01648403;35.94069951;N;35.94069951, -79.01648403;2017-01-16;10:31:00;2017-01-16;10:31:00;2017-01-16;10:31:00;;27517;SUSPICIOUS/WANT;RESTAURANT;;NOT APPLICABLE/NONE;;
138880;CHPD;SUSPICIOUS CIRCUMSTANCES;1506 E FRANKLIN ST;CHAPEL HILL;NC;-79.03285856;35.93010891;N;35.93010891, -79.03285856;2017-01-16;11:37:00;2017-01-16;11:37:00;2017-01-16;11:37:00;;27514;SUSPICIOUS/WANT;ALL OTHER;;NOT APPLICABLE/NONE;;
138818;CHPD;TRESPASSING;1301 FORDHAM BLVD;CHAPEL HILL;NC;-79.02261023;35.93468491;;35.93468491, -79.02261023;2017-01-15;7:01:00;2017-01-15;6:00:00;2017-01-15;7:01:00;;27517;TRESPASSING/UNW;HOTEL/MOTEL;;NOT APPLICABLE/NONE;;
138746;CHPD;ASSIST EMS;499 W CAMERON AVE at S ROBERSON ST;CHAPEL HILL;NC;-79.06181335;35.90788651;N;35.90788651, -79.06181335;2017-01-14;2:26:00;2017-01-14;2:20:00;2017-01-14;2:26:00;;27516;PUBLIC SERVICE;HIGHWAY/ROAD/STREET  ETC.;;NOT APPLICABLE/NONE;W;M
138636;CHPD;INFORMATION;304 SPRUCE ST;CHAPEL HILL;NC;-79.02023236;35.93061611;N;35.93061611, -79.02023236;2017-01-12;1:29:00;2017-01-12;1:29:00;2017-01-12;1:29:00;;27517;MENTAL DISORDER;HOME OF VICTIM - SINGLE FAMILY;;NOT APPLICABLE/NONE;;
138589;CHPD;ABANDONED VEHICLE;1939 FOUNTAIN RIDGE RD at COLONY WOODS DR;CHAPEL HILL;NC;-79.00248562;35.93673008;N;35.93673008, -79.00248562;2017-01-10;11:34:00;2016-01-10;11:00:00;2016-01-10;11:00:00;;27517;INFO MESSAGE;HIGHWAY/ROAD/STREET  ETC.;;NOT APPLICABLE/NONE;;
138611;CHPD;CIVIL DISPUTE;71 FERNWOOD LN;CHAPEL HILL;NC;-79.06716965;35.9203847;N;35.9203847, -79.06716965;2017-01-10;20:21:00;2017-01-10;20:21:00;2017-01-10;20:21:00;;27516;DISTURBANCE/NUI;OTHER RESIDENCE - OTHER DWELLING;;NOT APPLICABLE/NONE;;
138554;CHPD;SUICIDE THREAT;1935 FOUNTAIN RIDGE RD;CHAPEL HILL;NC;-79.00308921;35.93676997;N;35.93676997, -79.00308921;2017-01-09;12:26:00;2017-01-09;12:26:00;2017-01-09;12:26:00;;27517;SUICIDE ATTEMPT;HOME OF VICTIM - SINGLE FAMILY;;SHOTGUN;B;M
138558;CHPD;B&E    LARCENY F/VEHICLE;237 S ELLIOTT RD;CHAPEL HILL;NC;-79.02656845;35.9324563;Y;35.9324563, -79.02656845;2017-01-09;20:29:00;2017-01-09;19:00:00;2017-01-09;20:05:00;;27514;THEFT/LARCENY;PARKING LOT/AREA;21.0;UNKNOWN/NOT STATED;W;F
138486;CHPD;DISTURBING THE PEACE;122 ASHLEY FOREST RD;CHAPEL HILL;NC;-79.05569587;35.94386877;N;35.94386877, -79.05569587;2017-01-06;16:28:00;2017-01-06;16:28:00;2017-01-06;16:28:00;A;27514;DISTURBANCE/NUI;HOME OF VICTIM - OTHER DWELLING;71.0;NOT APPLICABLE/NONE;B;F
138469;CHPD;COMMUNITY OUTREACH;501 KILDAIRE RD;CHAPEL HILL;NC;-79.06842213;35.87887488;;35.87887488, -79.06842213;2017-01-06;9:27:00;2017-01-06;9:27:00;2017-01-06;9:27:00;;27516;MISC OFFICER IN;SCHOOL/COLLEGE;;NOT APPLICABLE/NONE;;
138447;CHPD;INVOLUNTARY COMMITMENT-NON CRIMINAL DETAINMENT;XX XX;CHAPEL HILL;NC;;;N;;2017-01-05;16:38:00;2017-01-05;16:38:00;2017-01-05;16:38:00;;27514;SUICIDE ATTEMPT;HOME OF VICTIM - OTHER DWELLING;;NOT APPLICABLE/NONE;W;F
138422;CHPD;COMMUNITY OUTREACH;101 SMITH LEVEL RD;CHAPEL HILL;NC;-79.0718295;35.89996376;N;35.89996376, -79.0718295;2017-01-05;9:43:00;2017-01-05;7:30:00;2017-01-05;8:00:00;;27516;MISC OFFICER IN;SCHOOL/COLLEGE;;NOT APPLICABLE/NONE;;
138313;CHPD;DAMAGE TO PROPERTY(NON-CRIMINAL);13308 DREW HILL LN;CHAPEL HILL;NC;-79.0113928;35.95337308;;35.95337308, -79.0113928;2017-01-03;11:22:00;2017-01-03;0;2017-01-03;11:15:00;;27514;DAMAGE/VANDALIS;PARKING LOT/AREA;40.0;UNKNOWN/NOT STATED;A;F
138328;CHPD;SUSPICIOUS VEHICLE;1860 MARTIN LUTHER KING JR BLVD;CHAPEL HILL;NC;-79.05878526;35.96665966;;35.96665966, -79.05878526;2017-01-03;15:03:00;2017-01-03;15:03:00;2017-01-03;15:03:00;;27514;SUSPICIOUS/WANT;SERVICE/GAS STATION;;NOT APPLICABLE/NONE;;
138191;CHPD;LARCENY OF CELLPHONE;100 E FRANKLIN ST;CHAPEL HILL;NC;-79.05542354;35.91310762;N;35.91310762, -79.05542354;2017-01-01;1:41:00;2017-01-01;23:59:59;2017-01-01;1:41:00;;27514;THEFT/LARCENY;OTHER RETAIL ESTABLISHMENT;22.0;UNKNOWN/NOT STATED;W;F
138230;CHPD;URINATING IN PUBLIC;140 W FRANKLIN ST;CHAPEL HILL;NC;-79.05826013;35.91302252;;35.91302252, -79.05826013;2017-01-01;16:31:00;2017-01-01;16:31:00;2017-01-01;16:31:00;;27516;INDECENCY/LEWDN;RESTAURANT;;NOT APPLICABLE/NONE;;
