country,cause,sex,death,total_concentration
Afghanistan,Total,male,9105,53.2
Afghanistan,Lower respiratory infections,male,2748,53.2
Afghanistan,"Trachea, bronchus, lung cancers",male,182,53.2
Afghanistan,Ischaemic heart disease,male,4211,53.2
Afghanistan,Stroke,male,1305,53.2
Afghanistan,Chronic obstructive pulmonary disease,male,660,53.2
Albania,Total,male,1075,17.9
Albania,Lower respiratory infections,male,41,17.9
Albania,"Trachea, bronchus, lung cancers",male,81,17.9
Albania,Ischaemic heart disease,male,592,17.9
Albania,Stroke,male,290,17.9
Albania,Chronic obstructive pulmonary disease,male,71,17.9
Algeria,Total,male,7711,35.2
Algeria,Lower respiratory infections,male,1170,35.2
Algeria,"Trachea, bronchus, lung cancers",male,433,35.2
Algeria,Ischaemic heart disease,male,4302,35.2
Algeria,Stroke,male,1173,35.2
Algeria,Chronic obstructive pulmonary disease,male,633,35.2
Angola,Total,male,4213,27.9
Angola,Lower respiratory infections,male,2704,27.9
Angola,"Trachea, bronchus, lung cancers",male,18,27.9
Angola,Ischaemic heart disease,male,813,27.9
Angola,Stroke,male,456,27.9
Angola,Chronic obstructive pulmonary disease,male,222,27.9
Antigua and Barbuda,Total,male,14,17.9
Antigua and Barbuda,Lower respiratory infections,male,3,17.9
Antigua and Barbuda,"Trachea, bronchus, lung cancers",male,0,17.9
Antigua and Barbuda,Ischaemic heart disease,male,7,17.9
Antigua and Barbuda,Stroke,male,3,17.9
Antigua and Barbuda,Chronic obstructive pulmonary disease,male,1,17.9
Argentina,Total,male,7694,11.8
Argentina,Lower respiratory infections,male,1812,11.8
Argentina,"Trachea, bronchus, lung cancers",male,516,11.8
Argentina,Ischaemic heart disease,male,3005,11.8
Argentina,Stroke,male,951,11.8
Argentina,Chronic obstructive pulmonary disease,male,1410,11.8
Armenia,Total,male,1206,30.5
Armenia,Lower respiratory infections,male,42,30.5
Armenia,"Trachea, bronchus, lung cancers",male,181,30.5
Armenia,Ischaemic heart disease,male,726,30.5
Armenia,Stroke,male,130,30.5
Armenia,Chronic obstructive pulmonary disease,male,128,30.5
Australia,Total,male,2139,7.2
Australia,Lower respiratory infections,male,121,7.2
Australia,"Trachea, bronchus, lung cancers",male,222,7.2
Australia,Ischaemic heart disease,male,1105,7.2
Australia,Stroke,male,279,7.2
Australia,Chronic obstructive pulmonary disease,male,414,7.2
Austria,Total,male,1683,12.4
Austria,Lower respiratory infections,male,62,12.4
Austria,"Trachea, bronchus, lung cancers",male,188,12.4
Austria,Ischaemic heart disease,male,1011,12.4
Austria,Stroke,male,165,12.4
Austria,Chronic obstructive pulmonary disease,male,257,12.4
Azerbaijan,Total,male,2578,18.2
Azerbaijan,Lower respiratory infections,male,118,18.2
Azerbaijan,"Trachea, bronchus, lung cancers",male,94,18.2
Azerbaijan,Ischaemic heart disease,male,1850,18.2
Azerbaijan,Stroke,male,383,18.2
Azerbaijan,Chronic obstructive pulmonary disease,male,133,18.2
Bahamas,Total,male,47,17.6
Bahamas,Lower respiratory infections,male,7,17.6
Bahamas,"Trachea, bronchus, lung cancers",male,3,17.6
Bahamas,Ischaemic heart disease,male,25,17.6
Bahamas,Stroke,male,9,17.6
Bahamas,Chronic obstructive pulmonary disease,male,3,17.6
Bahrain,Total,male,139,69
Bahrain,Lower respiratory infections,male,15,69
Bahrain,"Trachea, bronchus, lung cancers",male,14,69
Bahrain,Ischaemic heart disease,male,86,69
Bahrain,Stroke,male,12,69
Bahrain,Chronic obstructive pulmonary disease,male,12,69
Bangladesh,Total,male,46477,58.3
Bangladesh,Lower respiratory infections,male,5827,58.3
Bangladesh,"Trachea, bronchus, lung cancers",male,2557,58.3
Bangladesh,Ischaemic heart disease,male,15319,58.3
Bangladesh,Stroke,male,10989,58.3
Bangladesh,Chronic obstructive pulmonary disease,male,11785,58.3
Barbados,Total,male,80,22.2
Barbados,Lower respiratory infections,male,26,22.2
Barbados,"Trachea, bronchus, lung cancers",male,3,22.2
Barbados,Ischaemic heart disease,male,27,22.2
Barbados,Stroke,male,18,22.2
Barbados,Chronic obstructive pulmonary disease,male,7,22.2
Belarus,Total,male,5079,18.1
Belarus,Lower respiratory infections,male,103,18.1
Belarus,"Trachea, bronchus, lung cancers",male,301,18.1
Belarus,Ischaemic heart disease,male,3747,18.1
Belarus,Stroke,male,682,18.1
Belarus,Chronic obstructive pulmonary disease,male,246,18.1
Belgium,Total,male,2353,12.9
Belgium,Lower respiratory infections,male,323,12.9
Belgium,"Trachea, bronchus, lung cancers",male,371,12.9
Belgium,Ischaemic heart disease,male,876,12.9
Belgium,Stroke,male,258,12.9
Belgium,Chronic obstructive pulmonary disease,male,525,12.9
Belize,Total,male,54,21.2
Belize,Lower respiratory infections,male,11,21.2
Belize,"Trachea, bronchus, lung cancers",male,4,21.2
Belize,Ischaemic heart disease,male,24,21.2
Belize,Stroke,male,9,21.2
Belize,Chronic obstructive pulmonary disease,male,6,21.2
Benin,Total,male,2587,33.1
Benin,Lower respiratory infections,male,1542,33.1
Benin,"Trachea, bronchus, lung cancers",male,5,33.1
Benin,Ischaemic heart disease,male,530,33.1
Benin,Stroke,male,342,33.1
Benin,Chronic obstructive pulmonary disease,male,168,33.1
Bhutan,Total,male,204,35.3
Bhutan,Lower respiratory infections,male,30,35.3
Bhutan,"Trachea, bronchus, lung cancers",male,3,35.3
Bhutan,Ischaemic heart disease,male,98,35.3
Bhutan,Stroke,male,29,35.3
Bhutan,Chronic obstructive pulmonary disease,male,44,35.3
Bolivia (Plurinational State of),Total,male,1990,20.2
Bolivia (Plurinational State of),Lower respiratory infections,male,614,20.2
Bolivia (Plurinational State of),"Trachea, bronchus, lung cancers",male,22,20.2
Bolivia (Plurinational State of),Ischaemic heart disease,male,825,20.2
Bolivia (Plurinational State of),Stroke,male,298,20.2
Bolivia (Plurinational State of),Chronic obstructive pulmonary disease,male,231,20.2
Bosnia and Herzegovina,Total,male,1597,27.3
Bosnia and Herzegovina,Lower respiratory infections,male,41,27.3
Bosnia and Herzegovina,"Trachea, bronchus, lung cancers",male,213,27.3
Bosnia and Herzegovina,Ischaemic heart disease,male,809,27.3
Bosnia and Herzegovina,Stroke,male,365,27.3
Bosnia and Herzegovina,Chronic obstructive pulmonary disease,male,170,27.3
Botswana,Total,male,304,21.2
Botswana,Lower respiratory infections,male,103,21.2
Botswana,"Trachea, bronchus, lung cancers",male,5,21.2
Botswana,Ischaemic heart disease,male,90,21.2
Botswana,Stroke,male,51,21.2
Botswana,Chronic obstructive pulmonary disease,male,54,21.2
Brazil,Total,male,28332,11.5
Brazil,Lower respiratory infections,male,5145,11.5
Brazil,"Trachea, bronchus, lung cancers",male,1256,11.5
Brazil,Ischaemic heart disease,male,12484,11.5
Brazil,Stroke,male,5199,11.5
Brazil,Chronic obstructive pulmonary disease,male,4249,11.5
Brunei Darussalam,Total,male,21,5.8
Brunei Darussalam,Lower respiratory infections,male,1,5.8
Brunei Darussalam,"Trachea, bronchus, lung cancers",male,1,5.8
Brunei Darussalam,Ischaemic heart disease,male,13,5.8
Brunei Darussalam,Stroke,male,4,5.8
Brunei Darussalam,Chronic obstructive pulmonary disease,male,2,5.8
Bulgaria,Total,male,4568,18.8
Bulgaria,Lower respiratory infections,male,154,18.8
Bulgaria,"Trachea, bronchus, lung cancers",male,344,18.8
Bulgaria,Ischaemic heart disease,male,2587,18.8
Bulgaria,Stroke,male,1067,18.8
Bulgaria,Chronic obstructive pulmonary disease,male,417,18.8
Burkina Faso,Total,male,3525,36.8
Burkina Faso,Lower respiratory infections,male,2122,36.8
Burkina Faso,"Trachea, bronchus, lung cancers",male,17,36.8
Burkina Faso,Ischaemic heart disease,male,873,36.8
Burkina Faso,Stroke,male,360,36.8
Burkina Faso,Chronic obstructive pulmonary disease,male,153,36.8
Burundi,Total,male,2087,35.6
Burundi,Lower respiratory infections,male,1246,35.6
Burundi,"Trachea, bronchus, lung cancers",male,6,35.6
Burundi,Ischaemic heart disease,male,417,35.6
Burundi,Stroke,male,265,35.6
Burundi,Chronic obstructive pulmonary disease,male,154,35.6
Cabo Verde,Total,male,110,32
Cabo Verde,Lower respiratory infections,male,38,32
Cabo Verde,"Trachea, bronchus, lung cancers",male,1,32
Cabo Verde,Ischaemic heart disease,male,45,32
Cabo Verde,Stroke,male,17,32
Cabo Verde,Chronic obstructive pulmonary disease,male,9,32
Cambodia,Total,male,2494,24
Cambodia,Lower respiratory infections,male,769,24
Cambodia,"Trachea, bronchus, lung cancers",male,120,24
Cambodia,Ischaemic heart disease,male,787,24
Cambodia,Stroke,male,560,24
Cambodia,Chronic obstructive pulmonary disease,male,258,24
Cameroon,Total,male,7805,65.3
Cameroon,Lower respiratory infections,male,4833,65.3
Cameroon,"Trachea, bronchus, lung cancers",male,32,65.3
Cameroon,Ischaemic heart disease,male,1462,65.3
Cameroon,Stroke,male,924,65.3
Cameroon,Chronic obstructive pulmonary disease,male,553,65.3
Canada,Total,male,2859,6.5
Canada,Lower respiratory infections,male,156,6.5
Canada,"Trachea, bronchus, lung cancers",male,315,6.5
Canada,Ischaemic heart disease,male,1624,6.5
Canada,Stroke,male,298,6.5
Canada,Chronic obstructive pulmonary disease,male,466,6.5
Central African Republic,Total,male,1402,49.5
Central African Republic,Lower respiratory infections,male,825,49.5
Central African Republic,"Trachea, bronchus, lung cancers",male,6,49.5
Central African Republic,Ischaemic heart disease,male,279,49.5
Central African Republic,Stroke,male,202,49.5
Central African Republic,Chronic obstructive pulmonary disease,male,90,49.5
Chad,Total,male,6327,53
Chad,Lower respiratory infections,male,4641,53
Chad,"Trachea, bronchus, lung cancers",male,10,53
Chad,Ischaemic heart disease,male,925,53
Chad,Stroke,male,509,53
Chad,Chronic obstructive pulmonary disease,male,243,53
Chile,Total,male,2649,21
Chile,Lower respiratory infections,male,392,21
Chile,"Trachea, bronchus, lung cancers",male,241,21
Chile,Ischaemic heart disease,male,1051,21
Chile,Stroke,male,529,21
Chile,Chronic obstructive pulmonary disease,male,436,21
China,Total,male,629352,49.2
China,Lower respiratory infections,male,29864,49.2
China,"Trachea, bronchus, lung cancers",male,104474,49.2
China,Ischaemic heart disease,male,178167,49.2
China,Stroke,male,175203,49.2
China,Chronic obstructive pulmonary disease,male,141644,49.2
Colombia,Total,male,7057,15.2
Colombia,Lower respiratory infections,male,843,15.2
Colombia,"Trachea, bronchus, lung cancers",male,365,15.2
Colombia,Ischaemic heart disease,male,3981,15.2
Colombia,Stroke,male,984,15.2
Colombia,Chronic obstructive pulmonary disease,male,884,15.2
Comoros,Total,male,129,18.6
Comoros,Lower respiratory infections,male,62,18.6
Comoros,"Trachea, bronchus, lung cancers",male,1,18.6
Comoros,Ischaemic heart disease,male,40,18.6
Comoros,Stroke,male,18,18.6
Comoros,Chronic obstructive pulmonary disease,male,8,18.6
Congo,Total,male,780,38.7
Congo,Lower respiratory infections,male,395,38.7
Congo,"Trachea, bronchus, lung cancers",male,5,38.7
Congo,Ischaemic heart disease,male,211,38.7
Congo,Stroke,male,111,38.7
Congo,Chronic obstructive pulmonary disease,male,58,38.7
Costa Rica,Total,male,596,15.9
Costa Rica,Lower respiratory infections,male,62,15.9
Costa Rica,"Trachea, bronchus, lung cancers",male,23,15.9
Costa Rica,Ischaemic heart disease,male,329,15.9
Costa Rica,Stroke,male,82,15.9
Costa Rica,Chronic obstructive pulmonary disease,male,99,15.9
Côte d'Ivoire,Total,male,7159,23.7
Côte d'Ivoire,Lower respiratory infections,male,3552,23.7
Côte d'Ivoire,"Trachea, bronchus, lung cancers",male,18,23.7
Côte d'Ivoire,Ischaemic heart disease,male,2094,23.7
Côte d'Ivoire,Stroke,male,1078,23.7
Côte d'Ivoire,Chronic obstructive pulmonary disease,male,418,23.7
Croatia,Total,male,1483,17
Croatia,Lower respiratory infections,male,53,17
Croatia,"Trachea, bronchus, lung cancers",male,217,17
Croatia,Ischaemic heart disease,male,758,17
Croatia,Stroke,male,278,17
Croatia,Chronic obstructive pulmonary disease,male,176,17
Cuba,Total,male,3391,18.4
Cuba,Lower respiratory infections,male,564,18.4
Cuba,"Trachea, bronchus, lung cancers",male,389,18.4
Cuba,Ischaemic heart disease,male,1485,18.4
Cuba,Stroke,male,507,18.4
Cuba,Chronic obstructive pulmonary disease,male,446,18.4
Cyprus,Total,male,228,16.8
Cyprus,Lower respiratory infections,male,9,16.8
Cyprus,"Trachea, bronchus, lung cancers",male,30,16.8
Cyprus,Ischaemic heart disease,male,122,16.8
Cyprus,Stroke,male,24,16.8
Cyprus,Chronic obstructive pulmonary disease,male,43,16.8
Czechia,Total,male,3303,15.1
Czechia,Lower respiratory infections,male,269,15.1
Czechia,"Trachea, bronchus, lung cancers",male,350,15.1
Czechia,Ischaemic heart disease,male,1940,15.1
Czechia,Stroke,male,374,15.1
Czechia,Chronic obstructive pulmonary disease,male,370,15.1
Democratic People's Republic of Korea,Total,male,11963,30.4
Democratic People's Republic of Korea,Lower respiratory infections,male,601,30.4
Democratic People's Republic of Korea,"Trachea, bronchus, lung cancers",male,1228,30.4
Democratic People's Republic of Korea,Ischaemic heart disease,male,3032,30.4
Democratic People's Republic of Korea,Stroke,male,3749,30.4
Democratic People's Republic of Korea,Chronic obstructive pulmonary disease,male,3352,30.4
Democratic Republic of the Congo,Total,male,15374,37.6
Democratic Republic of the Congo,Lower respiratory infections,male,9898,37.6
Democratic Republic of the Congo,"Trachea, bronchus, lung cancers",male,45,37.6
Democratic Republic of the Congo,Ischaemic heart disease,male,2696,37.6
Democratic Republic of the Congo,Stroke,male,1861,37.6
Democratic Republic of the Congo,Chronic obstructive pulmonary disease,male,874,37.6
Denmark,Total,male,889,10.1
Denmark,Lower respiratory infections,male,99,10.1
Denmark,"Trachea, bronchus, lung cancers",male,124,10.1
Denmark,Ischaemic heart disease,male,321,10.1
Denmark,Stroke,male,123,10.1
Denmark,Chronic obstructive pulmonary disease,male,222,10.1
Djibouti,Total,male,225,40.4
Djibouti,Lower respiratory infections,male,100,40.4
Djibouti,"Trachea, bronchus, lung cancers",male,2,40.4
Djibouti,Ischaemic heart disease,male,73,40.4
Djibouti,Stroke,male,33,40.4
Djibouti,Chronic obstructive pulmonary disease,male,17,40.4
Dominican Republic,Total,male,1691,12.9
Dominican Republic,Lower respiratory infections,male,171,12.9
Dominican Republic,"Trachea, bronchus, lung cancers",male,58,12.9
Dominican Republic,Ischaemic heart disease,male,1031,12.9
Dominican Republic,Stroke,male,343,12.9
Dominican Republic,Chronic obstructive pulmonary disease,male,88,12.9
Ecuador,Total,male,1662,14.9
Ecuador,Lower respiratory infections,male,379,14.9
Ecuador,"Trachea, bronchus, lung cancers",male,48,14.9
Ecuador,Ischaemic heart disease,male,692,14.9
Ecuador,Stroke,male,280,14.9
Ecuador,Chronic obstructive pulmonary disease,male,264,14.9
Egypt,Total,male,37412,79.3
Egypt,Lower respiratory infections,male,5351,79.3
Egypt,"Trachea, bronchus, lung cancers",male,1086,79.3
Egypt,Ischaemic heart disease,male,21556,79.3
Egypt,Stroke,male,5765,79.3
Egypt,Chronic obstructive pulmonary disease,male,3654,79.3
El Salvador,Total,male,1007,23.4
El Salvador,Lower respiratory infections,male,241,23.4
El Salvador,"Trachea, bronchus, lung cancers",male,26,23.4
El Salvador,Ischaemic heart disease,male,560,23.4
El Salvador,Stroke,male,89,23.4
El Salvador,Chronic obstructive pulmonary disease,male,91,23.4
Equatorial Guinea,Total,male,343,45.9
Equatorial Guinea,Lower respiratory infections,male,206,45.9
Equatorial Guinea,"Trachea, bronchus, lung cancers",male,4,45.9
Equatorial Guinea,Ischaemic heart disease,male,77,45.9
Equatorial Guinea,Stroke,male,38,45.9
Equatorial Guinea,Chronic obstructive pulmonary disease,male,19,45.9
Eritrea,Total,male,1186,42.4
Eritrea,Lower respiratory infections,male,595,42.4
Eritrea,"Trachea, bronchus, lung cancers",male,7,42.4
Eritrea,Ischaemic heart disease,male,280,42.4
Eritrea,Stroke,male,188,42.4
Eritrea,Chronic obstructive pulmonary disease,male,116,42.4
Estonia,Total,male,255,6.7
Estonia,Lower respiratory infections,male,10,6.7
Estonia,"Trachea, bronchus, lung cancers",male,17,6.7
Estonia,Ischaemic heart disease,male,191,6.7
Estonia,Stroke,male,24,6.7
Estonia,Chronic obstructive pulmonary disease,male,14,6.7
Eswatini,Total,male,170,16.3
Eswatini,Lower respiratory infections,male,76,16.3
Eswatini,"Trachea, bronchus, lung cancers",male,2,16.3
Eswatini,Ischaemic heart disease,male,41,16.3
Eswatini,Stroke,male,25,16.3
Eswatini,Chronic obstructive pulmonary disease,male,26,16.3
Ethiopia,Total,male,17970,34.4
Ethiopia,Lower respiratory infections,male,9302,34.4
Ethiopia,"Trachea, bronchus, lung cancers",male,136,34.4
Ethiopia,Ischaemic heart disease,male,4859,34.4
Ethiopia,Stroke,male,2291,34.4
Ethiopia,Chronic obstructive pulmonary disease,male,1381,34.4
Fiji,Total,male,166,10.2
Fiji,Lower respiratory infections,male,13,10.2
Fiji,"Trachea, bronchus, lung cancers",male,2,10.2
Fiji,Ischaemic heart disease,male,132,10.2
Fiji,Stroke,male,8,10.2
Fiji,Chronic obstructive pulmonary disease,male,11,10.2
Finland,Total,male,559,5.9
Finland,Lower respiratory infections,male,6,5.9
Finland,"Trachea, bronchus, lung cancers",male,34,5.9
Finland,Ischaemic heart disease,male,383,5.9
Finland,Stroke,male,87,5.9
Finland,Chronic obstructive pulmonary disease,male,49,5.9
France,Total,male,8728,11.6
France,Lower respiratory infections,male,891,11.6
France,"Trachea, bronchus, lung cancers",male,1740,11.6
France,Ischaemic heart disease,male,3455,11.6
France,Stroke,male,1180,11.6
France,Chronic obstructive pulmonary disease,male,1462,11.6
Gabon,Total,male,337,38.5
Gabon,Lower respiratory infections,male,164,38.5
Gabon,"Trachea, bronchus, lung cancers",male,9,38.5
Gabon,Ischaemic heart disease,male,86,38.5
Gabon,Stroke,male,51,38.5
Gabon,Chronic obstructive pulmonary disease,male,27,38.5
Gambia,Total,male,418,32.2
Gambia,Lower respiratory infections,male,218,32.2
Gambia,"Trachea, bronchus, lung cancers",male,2,32.2
Gambia,Ischaemic heart disease,male,123,32.2
Gambia,Stroke,male,50,32.2
Gambia,Chronic obstructive pulmonary disease,male,25,32.2
Georgia,Total,male,2424,21.2
Georgia,Lower respiratory infections,male,58,21.2
Georgia,"Trachea, bronchus, lung cancers",male,97,21.2
Georgia,Ischaemic heart disease,male,1489,21.2
Georgia,Stroke,male,595,21.2
Georgia,Chronic obstructive pulmonary disease,male,186,21.2
Germany,Total,male,19111,11.7
Germany,Lower respiratory infections,male,1311,11.7
Germany,"Trachea, bronchus, lung cancers",male,2205,11.7
Germany,Ischaemic heart disease,male,10263,11.7
Germany,Stroke,male,2040,11.7
Germany,Chronic obstructive pulmonary disease,male,3293,11.7
Ghana,Total,male,5512,31.9
Ghana,Lower respiratory infections,male,3221,31.9
Ghana,"Trachea, bronchus, lung cancers",male,46,31.9
Ghana,Ischaemic heart disease,male,1226,31.9
Ghana,Stroke,male,690,31.9
Ghana,Chronic obstructive pulmonary disease,male,329,31.9
Greece,Total,male,3658,15.7
Greece,Lower respiratory infections,male,409,15.7
Greece,"Trachea, bronchus, lung cancers",male,578,15.7
Greece,Ischaemic heart disease,male,1524,15.7
Greece,Stroke,male,600,15.7
Greece,Chronic obstructive pulmonary disease,male,547,15.7
Grenada,Total,male,20,21.6
Grenada,Lower respiratory infections,male,4,21.6
Grenada,"Trachea, bronchus, lung cancers",male,1,21.6
Grenada,Ischaemic heart disease,male,10,21.6
Grenada,Stroke,male,4,21.6
Grenada,Chronic obstructive pulmonary disease,male,1,21.6
Guatemala,Total,male,1772,23.6
Guatemala,Lower respiratory infections,male,737,23.6
Guatemala,"Trachea, bronchus, lung cancers",male,27,23.6
Guatemala,Ischaemic heart disease,male,611,23.6
Guatemala,Stroke,male,216,23.6
Guatemala,Chronic obstructive pulmonary disease,male,181,23.6
Guinea,Total,male,2591,22.4
Guinea,Lower respiratory infections,male,1411,22.4
Guinea,"Trachea, bronchus, lung cancers",male,7,22.4
Guinea,Ischaemic heart disease,male,654,22.4
Guinea,Stroke,male,350,22.4
Guinea,Chronic obstructive pulmonary disease,male,169,22.4
Guinea-Bissau,Total,male,349,27.1
